trait.name,mosquito_species,pathogen
a,Aedes aegypti,none
a,Aedes albopictus,none
a,Anopheles spp.,none
a,Culex quinquefasciatus,none
a,Culex spp.,none
a,Other spp.,none
b,Aedes aegypti,DENV
b,Aedes albopictus,other togavirus
b,Aedes albopictus,DENV
b,Culex spp.,other flavivirus
b,Culex spp.,other togavirus
b,Culex spp.,WNV
bc,Aedes aegypti,ZIKV
bc,Aedes spp.,other togavirus
bc,Anopheles spp.,Plasmodium spp.
bc,Culex spp.,other flavivirus
bc,Culex spp.,other togavirus
bc,Culex spp.,WNV
bc,Other spp.,other togavirus
c,Aedes aegypti,DENV
c,Aedes albopictus,other togavirus
c,Aedes albopictus,DENV
c,Aedes spp.,other togavirus
c,Culex spp.,other togavirus
c,Culex spp.,other flavivirus
c,Culex spp.,WNV
e2a,Aedes aegypti,none
e2a,Aedes albopictus,none
e2a,Anopheles spp.,none
EFD,Aedes aegypti,none
EFD,Aedes albopictus,none
EFD,Aedes spp.,none
EFD,Culex spp.,none
EFOC,Culex spp.,none
EPR,Aedes spp.,none
EPR,Culex quinquefasciatus,none
EPR,Culex spp.,none
EV,Aedes spp.,none
EV,Culex quinquefasciatus,none
EV,Culex spp.,none
lf,Aedes aegypti,none
lf,Aedes aegypti,ZIKV
lf,Aedes albopictus,none
lf,Aedes spp.,none
lf,Anopheles spp.,none
lf,Culex quinquefasciatus,none
lf,Culex spp.,none
MDR,Aedes aegypti,none
MDR,Aedes albopictus,none
MDR,Aedes spp.,none
MDR,Anopheles spp.,none
MDR,Culex quinquefasciatus,none
MDR,Culex spp.,none
MDR,Culex spp.,WNV
MDR,Other spp.,none
nLR,Culex spp.,none
PDR,Aedes aegypti,DENV
PDR,Aedes aegypti,other flavivirus
PDR,Aedes aegypti,ZIKV
PDR,Aedes albopictus,DENV
PDR,Aedes spp.,other togavirus
PDR,Anopheles spp.,Plasmodium spp.
PDR,Culex quinquefasciatus,WNV
PDR,Culex spp.,other togavirus
PDR,Culex spp.,WNV
PDR,Culex spp.,other flavivirus
PDR,Other spp.,other togavirus
pLA,Aedes spp.,none
pLA,Culex quinquefasciatus,none
pLA,Culex spp.,none
pLA,Other spp.,none
pO,Aedes spp.,none
pO,Culex quinquefasciatus,none
pO,Culex spp.,none
pO,Other spp.,none
pRH,Culex spp.,none
TFD,Aedes albopictus,none
