Species,Parameter,FunctionType,q,qLow,qHigh,Tmin,TminLow,TminHigh,Tmax,TmaxLow,TmaxHigh,Reference,Notes
Aedes aegypti,BitingRate,Briere,2.02E-04,1.26E-04,2.88E-04,13.8,1.7,17.1,40,40,40.4,Mordecai2019,
Aedes aegypti,EFD,Briere,8.16E-03,4.32E-03,1.53E-02,14.7,7.7,20.4,34.4,34,36.2,Mordecai2019,
Aedes aegypti,pEA,Quadratic,5.99E-03,5.16E-03,6.85E-03,13.6,12.5,14.5,38.3,37.6,39,Mordecai2019,
Aedes aegypti,MDR,Briere,7.83E-05,5.80E-05,1.00E-04,11.6,6.9,14.7,39.1,39,39.7,Mordecai2019,
Aedes aegypti,lf,Quadratic,2.96E-01,1.48E-01,4.89E-01,11.7,5.1,14.5,37.2,34.9,39.7,Mordecai2019,ZIKV
Aedes albopictus,BitingRate,Briere,1.90E-04,1.33E-04,2.68E-04,10.4,5.4,14.4,38.1,36.8,40.9,Mordecai2019,
Aedes albopictus,EFD,Briere,4.77E-02,3.43E-02,7.01E-02,7.9,3.4,13.3,35.6,35.1,36.9,Mordecai2019,
Aedes albopictus,pEA,Quadratic,3.56E-03,2.65E-03,4.84E-03,9.1,6.3,11.6,39.3,37.2,41.6,Mordecai2019,
Aedes albopictus,MDR,Briere,6.33E-05,4.74E-05,8.37E-05,8.7,4.3,12.2,39.6,37.9,41.9,Mordecai2019,
Aedes albopictus,lf,Quadratic,1.39,7.73E-01,2.31E+00,13.5,10.4,16,31.4,29.5,34,Mordecai2019,
Culex quinquefasciatus,BitingRate,Briere,7.28E-05,5.31E-05,1.18E-04,3.1,0.1,10.9,39.3,38,40.8,Shocket2020,
Culex quinquefasciatus,ER,Quadratic,6.36E-01,4.50E-01,9.05E-01,5,1.3,9.8,37.7,34.8,40.7,Shocket2020,
Culex quinquefasciatus,pO,Briere,6.67E-04,5.80E-04,7.91E-04,1.7,0.2,4.8,31.8,31.1,32.2,Shocket2020,
Culex quinquefasciatus,EV,Briere,4.70E-04,3.40E-04,6.20E-04,13.6,9.3,16.8,38,37.2,38.7,Shocket2020,
Culex quinquefasciatus,MDR,Briere,4.14E-05,3.46E-05,5.26E-05,0.1,0,5.5,38.6,37.4,40.6,Shocket2020,
Culex quinquefasciatus,pLA,Quadratic,4.26E-03,3.51E-03,5.17E-03,8.9,7.6,9.9,37.7,36.2,39.2,Shocket2020,
Culex quinquefasciatus,lf,Linear,3.8,1.85,5.29,136.3,86.8,174,,,,Shocket2020,
Anopheles spp.,BitingRate,Briere,2.04E-04,,,11.7,,,42.3,,,Mordecai2013,
Anopheles spp.,p,Quadratic,0.000828,,,-11.32818883,,,55.65186033,,,Mordecai2013,
Anopheles spp.,PDR,Briere,1.11E-04,,,14.7,,,34.4,,,Mordecai2013,
Anopheles spp.,pEA,Quadratic,0.00924,,,15.31229323,,,33.71368079,,,Mordecai2013,
Anopheles spp.,MDR,Briere,1.11E-04,,,14.7,,,34,,,Mordecai2013,
Anopheles spp.,EFD,Quadratic,1.53E-01,,,15.76215806,,,40.51235175,,,Mordecai2013,
Anopheles spp.,mu,Quadratic,1.10E-03,,,-10.12,,,54.6,,,Mordecai2019,
